,roi_name,roi_colour,  no_roi_pixels,  roi_size[um^2], Dead_Time-mean[%], Dead_Time-median,  Dead_Time-max,  Dead_Time-min,  Dead_Time-total,  Dead_Time-total_content,  Dead_Time-stddev, Dead_Time-stddev_radius2,  abs_ic-mean[], abs_ic-median,  abs_ic-max,  abs_ic-min,  abs_ic-total,  abs_ic-total_content,  abs_ic-stddev, abs_ic-stddev_radius2,  P-mean[ug/cm2], P-median,  P-max,  P-min,  P-total,  P-total_content,  P-stddev, P-stddev_radius2,  S-mean[ug/cm2], S-median,  S-max,  S-min,  S-total,  S-total_content,  S-stddev, S-stddev_radius2,  Cl-mean[ug/cm2], Cl-median,  Cl-max,  Cl-min,  Cl-total,  Cl-total_content,  Cl-stddev, Cl-stddev_radius2,K-mean[ug/cm2], K-median,  K-max,  K-min,  K-total,  K-total_content,  K-stddev, K-stddev_radius2,  Ca-mean[ug/cm2], Ca-median,  Ca-max,  Ca-min,  Ca-total,  Ca-total_content,  Ca-stddev, Ca-stddev_radius2,  Mn-mean[ug/cm2], Mn-median,  Mn-max,  Mn-min,  Mn-total,  Mn-total_content,  Mn-stddev, Mn-stddev_radius2,  Fe-mean[ug/cm2], Fe-median,  Fe-max,  Fe-min,  Fe-total,  Fe-total_content,  Fe-stddev, Fe-stddev_radius2,  Cu-mean[ug/cm2], Cu-median,  Cu-max,  Cu-min,  Cu-total,  Cu-total_content,  Cu-stddev, Cu-stddev_radius2,  Zn-mean[ug/cm2], Zn-median,  Zn-max,  Zn-min,  Zn-total,  Zn-total_content,  Zn-stddev, Zn-stddev_radius2,  Se-mean[ug/cm2], Se-median,  Se-max,  Se-min,  Se-total,  Se-total_content,  Se-stddev, Se-stddev_radius2,  Br-mean[ug/cm2], Br-median,  Br-max,  Br-min,  Br-total,  Br-total_content,  Br-stddev, Br-stddev_radius2,Pb_L-mean[ug/cm2], Pb_L-median,  Pb_L-max,  Pb_L-min,  Pb_L-total,  Pb_L-total_content,  Pb_L-stddev, Pb_L-stddev_radius2,Unnamed: 116,Unnamed: 117,sample_num,lead_no_background,potassium_no_background,adjusted_lead
68, rois\0028-3.roi.h501, (green),335,30.1478,2.7106208,0.86469054,13.536871,-1.9588709,908.05811,817.19281,2.8800242,2.8486453,0.71782379,0.71782178,0.73637962,0.69841272,240.47096,216.40815,0.006623517,0.006381131,0.36761455,0.085099585,2.4301472,0.000291879,123.15087,110.82774,0.53372789,0.46548453,0.30054857,0.089339122,2.1981649,0.002439062,100.6838,90.608811,0.39414829,0.36557222,0.37956216,0.27499929,1.8861994,9.31e-07,127.15334,114.42968,0.34385218,0.320997,0.20828104,0.1651971,0.91157645,2.44e-12,69.774193,62.792171,0.1872967,0.17811106,0.037971855,0.004250255,0.37014708,6.49e-06,12.720569,11.447683,0.062780043,0.056229633,0.020410425,0.00596363,0.13027845,9.06e-09,6.8374915,6.153296,0.025627877,0.024477036,0.1241182,0.12001813,0.33369705,0.000798861,41.579597,37.418919,0.063393746,0.059352222,0.063124862,0.060973436,0.17020299,0.000110302,21.146833,19.030764,0.033812604,0.032438807,0.019702935,0.016611807,0.088607654,2.79e-06,6.6004863,5.9400033,0.017755138,0.016401145,0.007893444,0.005486955,0.035483297,1.33e-08,2.6443045,2.3797004,0.007622293,0.007180525,0.00986394,0.007016355,0.063560195,2.07e-12,3.3044193,2.9737619,0.00995263,0.009527929,0.67542145,0.65840966,1.4754425,0.20139788,226.26622,203.62478,0.21155225,0.16991369,,,0028,0.605062586,0.0753453,8.030528593024382
69, rois\0028-3.roi.h502, (blue),2016,181.427,2.7226554,0.47848821,17.689032,-3.3561587,5488.8672,4939.6263,3.1673075,3.1668408,0.71817242,0.71807522,0.7445783,0.68228573,1447.8347,1302.9572,0.007258005,0.007083887,0.3120904,0.073135741,2.7582762,0.000152145,629.17432,566.21559,0.47880967,0.42818336,0.25116815,0.060115851,2.1981649,0.00154884,506.35498,455.68631,0.34803201,0.3170293,0.37703878,0.28391483,2.6016929,7.72e-07,760.11041,684.04935,0.3463631,0.32789958,0.16109728,0.11874094,0.99643141,2.44e-12,324.77167,292.27363,0.16923905,0.15477554,0.026726824,0.004519596,0.37014708,7.73e-07,53.881329,48.489619,0.052627649,0.042931207,0.018726597,0.004815062,0.14671528,9.06e-09,37.752804,33.975064,0.024977051,0.023513073,0.095916287,0.087073334,0.39477205,0.000196284,193.36745,174.01784,0.061067607,0.053940714,0.061705446,0.057901714,0.22722659,6.52e-05,124.39823,111.95021,0.035117174,0.033498252,0.019009949,0.017049268,0.094444454,1.31e-06,38.324081,34.48914,0.017185196,0.016508039,0.008095187,0.005201834,0.049552146,1.04e-10,16.319895,14.686839,0.008061718,0.007580432,0.009307041,0.006443183,0.084868424,2.07e-12,18.762964,16.885465,0.009620359,0.009095885,0.29589957,0.20753697,1.4754425,2.66e-10,596.53351,536.84108,0.26746721,0.10461453,,,0028,0.225540706,0.028161540000000013,8.008820043222064
71, rois\0029-3.roi.h501, (green),190,4750.02,78.160711,84.02523,99.917625,6.3441396,14850.532,3712648.7,21.318548,16.331806,1.0136261,1.0176787,1.088729,0.8952381,192.589,48147.435,0.034697241,0.023406726,12.856115,4.3508654,138.09129,1.76e-21,2442.6624,610667.91,22.147869,12.883152,21.623736,17.704489,98.279831,1.0600000000000001e-21,4108.5098,1027131.6,18.797229,13.705757,5.1154686,2.5451453,244.17177,7.19e-22,971.93909,242985.73,18.081402,5.4325225,1.8643912,1.2375923,13.319104,3.0500000000000003e-22,354.23444,88558.938,2.0836011,1.5200081,1.6892464,0.84529597,19.725437,1.92e-22,320.95679,80239.528,2.3562984,1.4513801,0.69908516,0.13075298,35.222794,6.7e-23,132.82622,33206.678,2.7737875,1.0221311,4.8031976,3.7965357,26.695166,5.31e-23,912.60736,228152.8,4.2685848,3.2702617,0.55177113,0.21151021,53.539272,3.19e-23,104.83652,26209.234,3.8787565,0.81317919,0.29744487,0.14205354,4.8180242,2.5299999999999997e-23,56.514515,14128.688,0.54126941,0.2753831,0.30572972,0.2233714,4.3629284,2e-23,58.088665,14522.22,0.42925722,0.27595941,0.33962061,0.20315109,6.0341039,1.93e-23,64.527924,16132.044,0.59435878,0.34017348,73.143385,69.962746,235.85335,5.779999999999999e-23,13897.245,3474324.7,39.344076,33.642204,,,0029,73.10267567199999,1.7501004900000001,41.770558942018226
72, rois\0029-3.roi.h502, (blue),854,21350.1,64.270002,66.251472,99.986763,4.6647968,54886.594,13721702.0,24.618154,17.019978,1.0381295,1.043442,1.0971251,0.86557376,886.56171,221641.57,0.029649739,0.020133838,13.733721,5.5730338,288.14423,6.55e-22,11728.605,2932161.4,26.793116,14.043927,24.407319,20.123163,322.87393,3.96e-22,20843.854,5210984.0,22.547493,14.986645,4.5530571,3.0501554,244.17177,2.71e-22,3888.3108,972081.7,10.735843,4.1464299,3.0125554,2.1620469,53.611076,1.17e-22,2572.7214,643183.23,3.474619,1.922407,2.2785426,1.5491067,19.725437,7.18e-23,1945.8761,486470.84,2.4244037,1.3994609,0.74114474,0.098001115,37.501492,2.4999999999999998e-23,632.93774,158235.05,2.8282802,1.1340687,5.5829604,4.6139216,34.043949,1.94e-23,4767.8516,1191967.0,4.7335391,3.1711886,0.39110526,0.21700428,53.539272,1.1999999999999998e-23,334.00397,83501.316,2.017117,0.35221601,0.46162985,0.12605131,30.345222,9.49e-24,394.23184,98558.378,1.8818707,0.58739402,0.2084515,0.12806603,3.1433475,7.49e-24,178.01778,44504.578,0.29068622,0.17405245,0.33970173,0.14473926,8.1237144,7.209999999999999e-24,290.10538,72526.619,0.71145676,0.33956612,51.955453,46.203804,242.88843,2.1599999999999998e-23,44369.945,11092535.0,33.102066,24.633333,,,0029,51.914743672,2.89826469,17.912354192880844
74, rois\0030-4.roi.h501, (green),307,7675.0,27.067654,21.377962,96.955215,5.6419849,8309.7695,2077441.6,17.027529,10.0016,1.0425258,1.0412542,1.088853,0.99248123,320.05542,80013.827,0.017694003,0.014699717,6.3282462,5.1889367,48.929474,0.18215166,1942.7716,485692.71,5.8564057,3.3633941,13.003481,11.82091,141.07242,0.55053693,3992.0696,998016.79,9.6128702,6.1602688,3.6558792,2.3693352,59.548912,0.039618056,1122.3547,280588.62,5.0307442,2.1518337,28.503853,27.497395,61.962238,0.77151138,8750.6846,2187669.9,14.372286,8.6241068,6.5758781,6.2297587,16.902294,0.48592171,2018.7947,504698.45,3.0185492,2.1902798,0.75854357,0.20580573,64.935616,1.54e-12,232.8728,58218.196,4.6606809,0.79204339,8.086192,4.5551009,60.89468,0.22223891,2482.4614,620615.0,9.5482727,5.7965273,0.20869637,0.19889027,0.83526897,0.012253633,64.069778,16017.44,0.10360387,0.079140127,0.60838068,0.38631049,5.5152001,0.040251359,186.77286,46693.199,0.7327424,0.38141526,0.032177732,0.013741837,0.59270871,4.09e-09,9.8785639,2469.64,0.065786276,0.028036844,0.14861225,0.10633721,3.0205801,0.001860471,45.623955,11405.986,0.24607802,0.10046517,9.2909663,4.6377335,94.201363,0.2897723,2852.3264,713081.39,12.436078,8.0861105,,,0030,9.24240564,28.39580416,0.3254849057248886
75, rois\0030-4.roi.h502, (blue),697,17425.0,17.866386,16.447289,77.125313,3.1326175,12452.881,3113217.1,8.798889,5.2047525,1.0241367,1.0240771,1.0885167,0.972408,713.82343,178455.77,0.01869563,0.014621892,5.2180377,4.9757991,16.683498,0.021927772,3636.9731,909242.87,2.7482016,2.0897437,7.441995,6.9058347,26.146418,0.002369092,5187.0713,1296767.3,4.0937344,2.7374229,2.031288,1.9226825,5.4273896,0.1271366,1415.8075,353951.86,0.96151758,0.82545449,38.678597,41.035969,65.448296,9.7506447,26958.98,6739744.0,13.738239,7.2284302,5.0107686,4.8573046,12.338163,0.90523779,3492.5061,873126.22,1.7592539,1.4147405,0.2485287,0.23686518,0.75919145,0.00070797,173.22443,43306.116,0.11050429,0.10089501,2.2108181,0.7226311,28.293148,0.11858562,1540.9407,385234.96,3.7620839,1.9841524,0.25147726,0.24852085,0.52309954,0.032163091,175.27965,43819.902,0.080284192,0.070486222,0.85518919,0.80879277,5.2446551,0.16503461,596.06726,149016.68,0.48723736,0.28465707,0.01662106,0.013153994,0.17202973,6.62e-14,11.584881,2896.2191,0.017158919,0.01333348,0.17031575,0.17037539,0.39915186,0.013566338,118.71004,29677.513,0.062655912,0.047925222,2.9552054,0.58919477,70.768181,1.91e-07,2059.7776,514944.42,7.2640834,3.4882868,,,0030,2.90664474,38.57054816,0.07535917633170604
78, rois\0031-5.roi.h501, (green),168,4200.0,45.964229,47.356636,97.876953,4.3201742,7721.9897,1930496.3,22.620609,17.098149,1.0458601,1.0472497,1.0893855,1.0008554,175.70442,43926.095,0.016646888,0.014961879,5.667259,3.207176,152.90865,0.025641052,952.09949,238024.71,12.449607,6.2018338,10.607794,8.3920536,53.874908,0.50354886,1782.1096,445527.04,8.4041735,6.6778972,2.914691,2.1615746,13.132388,0.075325064,489.66797,122416.94,2.5318829,2.0740708,7.2416124,7.0837264,15.811302,0.62389958,1216.5908,304147.51,3.2396141,2.1671959,6.2729622,6.5677891,14.361833,0.68486476,1053.8577,263464.23,2.6404406,1.888652,0.91821782,0.22907801,20.13866,3.11e-07,154.26062,38565.121,2.5958452,1.2142843,6.7222121,3.8918245,50.621109,0.17790906,1129.3317,282332.71,7.5995337,4.7269119,0.33775174,0.33869427,1.1087166,0.024562756,56.742279,14185.563,0.16365853,0.12373689,0.27126397,0.21789566,1.8505616,0.023897532,45.572338,11393.079,0.26204064,0.15437634,0.14373356,0.066220619,2.802449,1.01e-06,24.147234,6036.8055,0.31231729,0.16020996,0.15404171,0.068477467,1.5458516,0.000175407,25.879005,6469.7472,0.28467272,0.1677722,37.172716,33.919266,145.05417,0.95199233,6245.0176,1561253.0,26.300463,21.252091,,,0031,37.135143471,7.13188416,5.206919046621194
79, rois\0031-5.roi.h502, (blue),878,21950.0,18.241694,13.19254,98.351555,0.74341893,16016.203,4004049.4,15.711462,9.0892677,1.0571169,1.0572615,1.1026894,1.0125674,928.14832,232037.02,0.015134075,0.014381031,1.3531234,1.0126908,63.122177,0.01313224,1188.0427,297010.4,2.4515327,1.1830815,1.4480054,1.1112678,28.344046,0.00504652,1271.3486,317837.0,1.6844109,1.0763928,0.80477644,0.61371821,29.420393,1.04e-06,706.59344,176648.32,1.1877472,0.60972189,4.313722,4.1787229,9.2431498,0.31367886,3787.4487,946861.38,1.3317333,0.99693562,2.557577,2.4699788,6.1692481,6.06e-11,2245.5532,561387.79,0.82138999,0.63302439,0.15483071,0.14070036,1.8062385,0.000127643,135.94139,33985.319,0.11226263,0.079577505,1.5047427,0.69447142,24.160849,0.092242211,1321.1647,330290.83,2.2716073,1.3405897,0.18602349,0.17958549,0.46963277,0.003963105,163.32848,40832.13,0.069486348,0.059503992,0.12235471,0.10842573,1.7422326,0.014118928,107.42755,26856.842,0.084791138,0.049375446,0.026425043,0.012416644,0.87941605,1.61e-08,23.201181,5800.2933,0.057881049,0.026643956,0.036747884,0.021400463,3.7406685,1.3e-09,32.264675,8066.1555,0.13618902,0.035319984,9.6553636,2.6997263,129.1301,0.10958742,8477.4189,2119351.0,16.596917,8.6742649,,,0031,9.617791071,4.20399376,2.2877748208170505
81, rois\0031-5.roi.h504, (magenta),2749,68725.0,26.618271,18.928968,99.964905,0.74341893,73173.516,18293394.0,21.397981,11.049695,1.0509475,1.0525452,1.1026894,0.85988325,2889.0583,722263.16,0.020803654,0.015142807,4.6987788,2.2972975,301.76111,2.2700000000000003e-22,12916.957,3229233.5,11.316401,3.5805442,6.1378777,2.9161477,186.97504,1.37e-22,16873.031,4218253.6,9.6028632,3.6554983,1.9074102,1.199843,105.29969,9.289999999999999e-23,5243.4688,1310866.7,3.6156631,1.3757898,11.475174,6.3897152,78.082985,4e-23,31545.242,7886307.8,11.12931,3.0229222,5.4907569,3.8770235,26.539743,2.4999999999999998e-23,15094.09,3773520.1,3.9644506,1.5062834,0.41347823,0.20934178,71.286484,8.65e-24,1136.6511,284162.72,1.8293138,0.39216465,3.1269612,1.175463,50.621109,6.83e-24,8596.0166,2149002.6,4.9612593,2.4975283,0.28322746,0.2395073,4.8750777,4.14e-24,778.59235,194647.94,0.22655956,0.10679995,0.26545185,0.18501233,13.309429,3.27e-24,729.72675,182431.66,0.40999134,0.14163795,0.050727341,0.016527958,3.5631449,2.59e-24,139.44942,34862.341,0.15238672,0.053785081,0.084903475,0.038577259,5.7585206,2.5e-24,233.39949,58349.873,0.2721997,0.08469163,15.508036,6.212544,226.2103,7.46e-24,42631.559,10657890.0,22.251456,12.09152,,,0031,15.470463471,11.36544576,1.361184048358874
83, rois\0032-4.roi.h501, (green),34,849.998,83.592422,93.434029,99.97583,31.627184,2842.1421,710534.26,20.189301,17.338997,1.0121176,1.0226891,1.0626546,0.9478991,34.411995,8602.9833,0.033201707,0.026891029,21.596277,4.365026,342.1015,0.056987301,734.27344,183568.01,60.011618,42.680523,24.569292,19.684063,82.772217,0.028593842,835.35602,208838.59,19.754035,18.496936,4.4887705,2.6849511,27.795277,0.000288183,152.61819,38154.478,6.4119207,6.133996,5.2113578,4.5362415,19.072409,1.37e-07,177.18617,44296.459,4.6867039,4.3454718,1.4856133,1.1810452,6.438489,7.29e-06,50.510849,12627.69,1.3998022,1.2423608,0.63079451,0.063048474,6.394659,3.44e-11,21.447014,5361.7433,1.327995,0.92154084,13.416033,12.086485,46.326286,3.15e-06,456.14511,114036.07,10.762723,9.0166846,0.25494583,0.19696483,1.4955844,1.65e-07,8.6681585,2167.0355,0.26583992,0.20787426,0.27169414,0.23209059,0.62761354,0.005297297,9.2376013,2309.3959,0.18949202,0.18171491,0.29285194,0.20167084,1.660184,0.00116494,9.9569645,2489.2368,0.33191432,0.29785974,0.5533902,0.20160176,10.04666,2.11e-07,18.815266,4703.8079,1.696973,0.86349193,77.798022,73.216331,195.66179,9.9055367,2645.1328,661281.95,48.001099,46.08819,,,0032,77.762833082,5.09643912,15.258267831913196
84, rois\0032-4.roi.h502, (blue),85,2125.0,31.440272,25.050337,96.034065,8.6687202,2672.4231,668104.48,18.793625,14.79878,1.0467486,1.0459099,1.0815127,1.0068434,88.973625,22243.365,0.015029555,0.013687616,7.2161119,6.4517932,25.414358,1.3149619,613.36957,153342.08,3.9313578,3.2497316,12.585206,10.639893,40.643158,1.2030989,1069.7427,267435.11,7.9324577,6.197738,2.2367721,1.7492166,9.2125912,0.10137183,190.12561,47531.315,1.7078466,1.2831045,28.927991,27.821272,51.640354,13.431568,2458.8787,614718.6,8.2027398,6.4608717,2.4996851,2.4026091,6.8057923,0.66281021,212.47322,53118.204,0.98492039,0.82007128,0.097735524,0.082905784,0.53853399,9.64e-06,8.3075218,2076.8758,0.082547949,0.066370004,5.787093,4.2553725,48.110329,0.79909438,491.90295,122975.49,6.3191387,3.5674487,0.27628766,0.25507984,0.94906825,0.082856789,23.484451,5871.1014,0.12115398,0.095430562,0.35550392,0.34377629,0.67857099,0.16907132,30.217831,7554.4436,0.10903151,0.10013206,0.040079249,0.023692159,0.27622998,6.04e-06,3.4067369,851.68237,0.048274897,0.032374667,0.14115801,0.12852113,0.31602758,0.028621264,11.998431,2999.6019,0.067884714,0.06421899,19.323651,14.211706,91.678566,2.2957964,1642.5101,410626.79,17.842536,13.025309,,,0032,19.288462082000002,28.81307232,0.6694344104572046
87, rois\0033-4.roi.h501, (green),294,7350.0,47.450397,44.408829,99.677406,7.1163359,13950.418,3487606.5,20.063434,16.293006,1.0136375,1.0138289,1.0751688,0.9569121,298.00946,74502.408,0.020844084,0.015985876,9.3584744,7.3868475,87.095024,0.066684552,2751.3931,687848.33,9.0056801,5.5769662,16.635509,15.182805,69.014702,0.032313127,4890.8418,1222710.8,8.8203452,6.6718059,3.8976024,3.3213272,36.5438,0.16844997,1145.8956,286473.97,3.3910664,2.1472171,40.388584,40.14315,83.162903,0.75427276,11874.248,2968562.9,17.940078,8.9374707,8.7881649,8.2342958,20.299892,0.41862646,2583.7209,645930.55,3.7055261,2.8949005,1.5213599,0.31798291,85.626945,2.72e-12,447.27966,111820.02,8.1067201,2.8591826,15.308228,12.253364,58.635872,0.28272679,4500.6196,1125155.5,12.324395,10.012532,0.36074897,0.34466174,0.88254404,0.053827152,106.06018,26515.067,0.15366505,0.12335097,0.91512162,0.70357358,6.1544733,0.016677253,269.04565,67261.484,0.78013566,0.44292562,0.070773135,0.038402379,0.8977617,2.89e-15,20.807302,5201.8289,0.10914004,0.071226041,0.23055674,0.20605075,2.4742782,0.002418665,67.783661,16945.932,0.21073779,0.12457151,21.769684,19.146158,104.6794,0.38021567,6400.2866,1600072.8,16.941082,13.51436,,,0033,21.733702957000002,40.26499931,0.5397666293167509
88, rois\0033-4.roi.h502, (blue),121,3025.0,24.16096,24.3671,36.460781,16.052258,2923.4758,730869.44,3.6226456,2.9570358,1.0080869,1.0073529,1.0424,0.9686175,121.9785,30494.646,0.014720294,0.014026219,7.3886601,6.6139855,19.591524,1.3205456,894.02795,223507.09,3.7225677,3.0589314,10.475205,9.5512447,24.262016,2.6951439,1267.5,316875.14,4.4670842,3.0454226,2.9902305,2.8923869,6.4863267,0.54232883,361.81784,90454.524,1.3749244,1.0850054,68.866399,67.726715,108.41083,34.15609,8332.834,2083209.8,14.719195,8.4896312,6.9341419,6.5677023,18.118109,3.1637187,839.03119,209757.91,2.6883728,1.5920383,0.33226085,0.33264127,0.67991841,0.058396313,40.203575,10050.896,0.12725148,0.10790716,1.3211663,1.1554947,12.936953,0.65307784,159.86108,39965.303,1.221838,0.47923513,0.33859852,0.33588779,0.60276234,0.17006806,40.970428,10242.611,0.078987816,0.07573887,1.2371862,1.173264,4.5041986,0.633057,149.69952,37424.905,0.44096781,0.32825853,0.015735944,0.015133062,0.04720353,1.88e-17,1.9040484,476.01256,0.010881834,0.010363416,0.25376002,0.25445664,0.44840673,0.13501945,30.704966,7676.245,0.056126994,0.050095035,0.20812443,0.15494749,2.9696646,0.000493289,25.183064,6295.7676,0.29312502,0.14442027,,,0033,0.172143387,68.74281431,0.0025041655441063074
91, rois\0034-4.roi.h501, (green),761,760.996,39.108343,35.953999,97.900696,14.784831,29761.465,297612.92,15.193611,9.9516219,1.035162,1.0351307,1.0839223,0.98603839,787.75848,7877.5409,0.014669563,0.013785314,8.552189,6.5115848,114.87425,0.17826276,6508.2168,65081.814,9.4770082,5.6292337,17.334933,12.433588,71.123016,1.1309651,13191.889,131918.14,13.366292,9.066232,3.5943989,2.8781378,38.830105,0.005263505,2735.3396,27353.231,2.907304,1.9053874,5.5052709,5.4610739,11.653562,0.068943039,4189.5117,41894.89,2.0291929,1.3583411,5.3742198,5.3934102,10.83178,0.29963481,4089.78,40897.596,1.8881988,1.184275,0.40849512,0.33058012,8.7237778,4.28e-07,310.86496,3108.6314,0.55498137,0.28350365,6.8081445,6.4389124,22.161457,1.0401601,5180.9971,51809.705,2.8612658,1.8814943,0.42351368,0.42008242,1.1572531,0.064871617,322.29407,3222.9221,0.13117901,0.10769429,0.17816955,0.1405272,3.6346929,0.013072572,135.58705,1355.8631,0.19558101,0.10820697,0.11452798,0.055112671,3.9663169,3.83e-08,87.155823,871.55331,0.25471451,0.10395595,0.17734541,0.12730458,7.9679451,0.003463195,134.95988,1349.5914,0.33557589,0.13319718,40.685008,33.654835,148.24742,5.3622656,30961.305,309611.27,29.65273,20.346886,,,0034,37.3663187,5.3625188900000005,6.968053533513986
92, rois\0034-4.roi.h502, (blue),276,275.999,77.004978,80.197311,99.974945,32.823364,21253.371,212532.63,18.193278,9.1494059,1.0120058,1.0177665,1.0757576,0.92085105,279.31363,2793.1215,0.02978391,0.018327616,37.645992,25.718782,442.22635,0.98174435,10390.292,103902.4,45.233957,31.434396,31.206531,27.436417,115.90664,0.62078214,8613.002,86129.578,22.532927,17.915374,14.115089,9.8356104,312.44244,0.65641654,3895.7646,38957.444,22.9474,12.010944,7.0357029,4.7102194,172.54887,1.95e-06,1941.8536,19418.439,14.942607,6.6018412,5.8494288,4.0091944,169.22331,2.42e-05,1614.4421,16144.34,14.185504,5.7780307,4.0721273,1.3280128,120.119,0.000362934,1123.9071,11239.013,9.7820334,4.9051102,8.3759412,4.5916505,234.17491,1.06e-07,2311.7595,23117.478,16.381539,8.281889,2.8377121,0.55387861,46.230991,0.017758153,783.20868,7832.0447,6.0415365,3.0719405,4.1577726,0.87105542,69.552666,0.038944855,1147.545,11475.393,8.1530381,4.3670698,2.3496563,0.73550165,27.637617,0.009703425,648.50525,6485.0178,4.0354804,2.4413982,1.7591835,0.82338965,12.57002,0.000677199,485.5347,4855.3211,2.2713708,1.3725305,50.790966,41.179802,190.20172,1.1311874,14018.309,140182.34,35.913101,25.41229,,,0034,47.472276699999995,6.892950890000001,6.887076008168106
95, rois\0035-4.roi.h501, (green),299,299.002,57.692845,55.487602,99.764954,17.911917,17250.16,172502.56,20.502533,12.726415,1.0101051,1.0116279,1.0623331,0.93103451,302.02139,3020.2308,0.02077087,0.016174413,15.755759,10.065104,152.54849,0.86666274,4710.9727,47109.98,17.900318,10.333667,18.039829,15.919144,65.79023,3.0498064,5393.9077,53939.387,9.6403937,7.587793,10.952478,8.6738024,72.666649,0.05963257,3274.7917,32748.089,8.6723169,5.2100378,28.214729,26.394415,198.66571,0.42530283,8436.1992,84362.505,16.600005,10.976918,10.412797,9.6107969,246.36658,6.6e-07,3113.4263,31134.433,14.766824,6.2868183,4.5313214,0.68061131,78.127716,9.62e-07,1354.8647,13548.726,10.307894,5.9269936,30.594496,27.47197,91.475655,1.7e-08,9147.7559,91478.047,17.357032,13.107443,0.65594441,0.30996904,13.114462,0.024284162,196.12738,1961.2846,1.5072903,0.72523489,0.94958973,0.44170368,16.431547,0.084501997,283.92734,2839.2889,1.817387,0.85624273,0.59307786,0.10642004,18.534763,1.26e-05,177.33026,1773.3126,1.7343497,0.77505253,0.4574209,0.17521235,9.4161148,1.11e-15,136.76881,1367.696,0.92896307,0.50020474,38.743237,33.997707,127.97694,2.2571123,11584.229,115842.92,22.07141,18.398277,,,0035,38.60209776,28.04339387,1.3765130546946884
96, rois\0035-4.roi.h502, (blue),1019,1019.01,20.521219,18.353075,73.365425,8.4444761,20911.121,209112.36,8.7476894,4.7804048,1.0065605,1.0066556,1.0485512,0.94847327,1025.6852,10256.907,0.014228973,0.01347169,5.7203079,5.4154134,19.29991,0.15060134,5828.9971,58290.256,2.6100565,2.2878734,12.260652,11.117558,39.236786,2.119863,12493.61,124936.72,5.0095887,3.2954977,2.2184472,2.0599055,6.5670452,0.045668487,2260.5957,22606.1,1.0355648,0.88445226,43.23656,42.995289,63.441803,23.889889,44058.055,440582.94,5.1989435,4.118691,6.2756197,6.1910553,12.321186,1.5107126,6394.8535,63948.913,1.7894653,1.2884948,0.269805,0.25469536,0.82082015,5.6e-05,274.93149,2749.3279,0.11686485,0.10594811,5.1414027,2.1703434,44.167843,0.20762467,5239.0879,52391.179,6.7289978,2.8146066,0.2565894,0.25349373,0.56634784,0.044691399,261.46475,2614.6602,0.074368006,0.066294174,1.6799778,0.95702535,14.999038,0.2044097,1711.8973,17119.067,1.8836406,1.0193619,0.01754279,0.012606507,0.2564868,6.29e-15,17.876083,178.76201,0.020602886,0.014939766,0.16474319,0.16075724,0.42126581,0.022004003,167.87343,1678.7423,0.049331065,0.046133288,4.4402977,1.3237541,66.61702,0.016752783,4524.6636,45246.88,7.9750121,3.8575512,,,0035,4.29915846,43.065224869999994,0.09982900293630814
99, rois\0036-4.roi.h501, (green),622,622.005,7.2459023,6.5755486,41.063232,1.4351845,4506.9517,45069.879,3.8448881,2.6914217,1.0351494,1.0348639,1.0741936,0.99628597,643.86273,6438.6819,0.014655892,0.013513209,0.88794232,0.77636451,5.7117701,0.004881505,552.30005,5523.0462,0.79806901,0.7329877,1.0449547,0.71712363,27.087214,0.00527968,649.96216,6499.6714,1.9478637,0.83689438,0.58231866,0.50756431,5.9651995,0.000139077,362.2023,3622.0516,0.47232872,0.37375798,3.3097925,3.2046092,7.1558938,0.87634408,2058.6904,20587.077,0.94154068,0.7865569,2.6913151,2.6929991,4.6847034,0.9584223,1674.0,16740.116,0.65631371,0.53932974,0.14734829,0.14294006,0.45015103,0.00023433,91.650635,916.51382,0.068904212,0.062319214,0.83815547,0.73271018,11.333574,0.12480393,521.3327,5213.3695,0.69139601,0.2630332,0.27338799,0.27012512,0.52090126,0.08480823,170.0473,1700.4872,0.07426694,0.066124619,0.12606732,0.12150554,0.30635834,0.008823729,78.413879,784.14513,0.046737361,0.042716831,0.011039567,0.008473832,0.094210915,1.87e-11,6.8666091,68.666665,0.010619429,0.008864083,0.022553515,0.020542569,0.078907751,6.95e-09,14.028289,140.284,0.014273297,0.013164024,1.9609049,1.0608747,42.633842,0.081846438,1219.6826,12196.928,4.0014699,1.4706958,,,0036,0.5227561000000001,3.0570675499999997,0.1709991982349229
