,roi_name,roi_colour,  no_roi_pixels,  roi_size[um^2], Dead_Time-mean[%], Dead_Time-median,  Dead_Time-max,  Dead_Time-min,  Dead_Time-total,  Dead_Time-total_content,  Dead_Time-stddev, Dead_Time-stddev_radius2,  abs_ic-mean[], abs_ic-median,  abs_ic-max,  abs_ic-min,  abs_ic-total,  abs_ic-total_content,  abs_ic-stddev, abs_ic-stddev_radius2,  P-mean[ug/cm2], P-median,  P-max,  P-min,  P-total,  P-total_content,  P-stddev, P-stddev_radius2,  S-mean[ug/cm2], S-median,  S-max,  S-min,  S-total,  S-total_content,  S-stddev, S-stddev_radius2,  Cl-mean[ug/cm2], Cl-median,  Cl-max,  Cl-min,  Cl-total,  Cl-total_content,  Cl-stddev, Cl-stddev_radius2,K-mean[ug/cm2], K-median,  K-max,  K-min,  K-total,  K-total_content,  K-stddev, K-stddev_radius2,  Ca-mean[ug/cm2], Ca-median,  Ca-max,  Ca-min,  Ca-total,  Ca-total_content,  Ca-stddev, Ca-stddev_radius2,  Mn-mean[ug/cm2], Mn-median,  Mn-max,  Mn-min,  Mn-total,  Mn-total_content,  Mn-stddev, Mn-stddev_radius2,  Fe-mean[ug/cm2], Fe-median,  Fe-max,  Fe-min,  Fe-total,  Fe-total_content,  Fe-stddev, Fe-stddev_radius2,  Cu-mean[ug/cm2], Cu-median,  Cu-max,  Cu-min,  Cu-total,  Cu-total_content,  Cu-stddev, Cu-stddev_radius2,  Zn-mean[ug/cm2], Zn-median,  Zn-max,  Zn-min,  Zn-total,  Zn-total_content,  Zn-stddev, Zn-stddev_radius2,  Se-mean[ug/cm2], Se-median,  Se-max,  Se-min,  Se-total,  Se-total_content,  Se-stddev, Se-stddev_radius2,  Br-mean[ug/cm2], Br-median,  Br-max,  Br-min,  Br-total,  Br-total_content,  Br-stddev, Br-stddev_radius2,Pb_L-mean[ug/cm2], Pb_L-median,  Pb_L-max,  Pb_L-min,  Pb_L-total,  Pb_L-total_content,  Pb_L-stddev, Pb_L-stddev_radius2,Unnamed: 116,Unnamed: 117,sample_num
30, rois\0016-3.roi.h500, (red),79,1974.99,2.5221995,0.90370774,10.815597,0.050699711,199.25377,49813.305,3.0619044,2.9369436,0.72322312,0.722449,0.7432217,0.70435512,57.134621,14283.618,0.007319609,0.007073772,0.37693248,0.15611921,2.835454,8.81e-06,29.77767,7444.3962,0.50913335,0.43826026,0.083769957,0.022975726,0.76842642,0.001897087,6.6178265,1654.4521,0.17526641,0.13256151,0.35913727,0.17526394,1.7820462,0.003411543,28.371845,7092.9417,0.41386149,0.38921562,0.02203228,0.004709438,0.36779773,0.000260258,1.7405503,435.13634,0.058840447,0.036520497,0.013471415,0.003340128,0.15480657,0.000150285,1.0642419,266.05972,0.03182879,0.023944453,0.019579427,0.003346661,0.1121043,5.34e-07,1.5467747,386.69263,0.02496509,0.022986467,0.054178453,0.046767242,0.16349253,0.000434636,4.280098,1070.0215,0.037687016,0.033241335,0.044604694,0.045264527,0.12157907,6.83e-05,3.523771,880.94032,0.028621812,0.028090866,0.013910043,0.013986316,0.047654912,9.21e-07,1.0988933,274.72259,0.011710595,0.011405479,0.005966671,0.003501299,0.02648134,5.91e-09,0.471367,117.84143,0.006662517,0.00632866,0.004189769,0.002328763,0.03310651,5.21e-09,0.33099169,82.747715,0.005492833,0.004822461,0.026733002,0.018191149,0.12501259,2.28e-06,2.1119072,527.97536,0.02691192,0.024802959,,,0016
33, rois\0017-3.roi.h500, (red),46,1150.0,5.4788663,4.8385086,21.297514,0.057274103,252.02786,63007.217,5.3382177,3.5373091,0.72495997,0.72503328,0.7418586,0.70617288,33.348167,8337.0733,0.007706848,0.007665656,0.35367797,0.15815012,1.8371077,0.000162472,16.269188,4067.3131,0.43466366,0.39460934,0.12507305,0.019875873,1.4553581,0.004682831,5.7533607,1438.3458,0.30080131,0.17630791,0.20291552,0.023237256,0.9442119,0.001472535,9.3341131,2333.5379,0.29062262,0.24612183,0.014886284,0.005061705,0.19904445,0.001323583,0.68476903,171.19295,0.034893249,0.020011993,0.009749208,0.003773857,0.15290926,0.001100512,0.44846356,112.11635,0.023548897,0.014649093,0.015497303,0.004454991,0.08588028,0.00018168,0.71287602,178.2197,0.020560654,0.018070672,0.063125023,0.058210023,0.19078292,0.000343761,2.9037511,725.94069,0.041550696,0.039233029,0.047655623,0.048041046,0.14037944,0.001214458,2.1921587,548.04188,0.025696532,0.0241786,0.013834102,0.010416393,0.042561546,3.69e-05,0.63636851,159.09281,0.01244297,0.011752428,0.003032797,0.001340271,0.018910693,7.7e-08,0.13950863,34.877302,0.004335632,0.003902415,0.00385517,0.002293278,0.031530481,8.14e-09,0.17733783,44.33463,0.005501427,0.00439348,0.088145453,0.018360149,1.2796253,4.83e-09,4.0546908,1013.6768,0.21317123,0.097086261,,,0017
36, rois\0018-2.roi.h500, (red),478,11950.0,2.1215149,0.17746091,21.5303,-4.7122359,1014.0835,253520.78,3.786329,3.5004245,0.72935184,0.72928625,0.75178999,0.70694089,348.63043,87157.459,0.007545579,0.007460558,0.21667159,0.044553597,2.681936,4.92e-07,103.56903,25892.23,0.37313195,0.32120397,0.10871866,0.017169166,2.1592939,0.000657678,51.967529,12991.867,0.24989303,0.17547941,0.18316999,0.023246136,1.4460889,0.001282977,87.555252,21888.792,0.26217162,0.24527338,0.059664775,0.004326682,1.1704203,0.000206612,28.519743,7129.9336,0.13904976,0.059992547,0.055055194,0.00368317,0.87008339,0.000125732,26.316374,6579.0892,0.11672699,0.068592787,0.016666462,0.003557898,0.14849958,6.68e-09,7.9665709,1991.6402,0.024631897,0.022868861,0.078600452,0.072035827,0.25845376,6.37e-05,37.571007,9392.7448,0.048916356,0.047206786,0.06060791,0.058692906,0.15767913,4e-05,28.970575,7242.6382,0.031408183,0.03025149,0.027726821,0.024377229,0.10852038,3.64e-06,13.253427,3313.3518,0.021356658,0.020514128,0.004835709,0.002356759,0.040436771,9.91e-10,2.3114693,577.86668,0.006160388,0.005671261,0.005099145,0.002556786,0.046465788,7.96e-11,2.437391,609.34717,0.006355863,0.005739607,0.022147501,0.016881967,0.12138131,2.04e-10,10.586505,2646.6237,0.020963306,0.019821548,,,0018
38, rois\0020-4.roi.h500, (red),1974,1974.01,3.5874713,2.0397186,22.673344,-3.0927181,7081.668,70817.182,3.1899529,2.8978219,0.7424353,0.7425822,0.76978415,0.71762592,1465.5668,14655.776,0.007232202,0.007159249,0.3145073,0.13944374,2.7597499,1.24e-08,620.83722,6208.4178,0.42011586,0.38223171,0.070160559,0.017165605,1.3836176,0.000557335,138.49687,1384.9792,0.16061623,0.12238529,0.274219,0.12550272,1.9994185,0.001164906,541.30896,5413.1212,0.32417341,0.30433644,0.025905296,0.004173088,0.58000565,0.000269061,51.137108,511.37414,0.062127122,0.046275411,0.013633224,0.003018463,0.2788147,0.000114025,26.911987,269.12174,0.034634976,0.024552785,0.013544392,0.002804971,0.17453504,1.98e-07,26.736599,267.36818,0.02127138,0.019335561,0.058062957,0.052071139,0.22833291,4.26e-05,114.6164,1146.1709,0.043161018,0.041464836,0.044969917,0.041945349,0.17912869,8.71e-06,88.77063,887.71242,0.02930588,0.02805745,0.012579147,0.0089128,0.076776333,7.4e-07,24.83123,248.31412,0.013190709,0.012523043,0.0052926,0.002597315,0.050777536,2.48e-10,10.447601,104.47667,0.006540985,0.005983879,0.004552426,0.002141356,0.04252864,1.08e-12,8.9864807,89.865514,0.005757877,0.005293653,0.025278482,0.019141562,1.1027348,2.51e-12,49.899715,499.00076,0.033524622,0.022956851,,,0020
42, rois\0021-3.roi.h500, (red),441,441.004,6.2204414,5.9009256,24.347973,-1.6121864,2743.2148,27432.399,4.3056497,3.0401347,0.74504307,0.74468082,0.76645774,0.72156507,328.564,3285.6702,0.007646901,0.007548249,0.28364157,0.11833383,2.9889672,7.89e-07,125.08592,1250.8708,0.38706621,0.34977714,0.13607721,0.017520068,2.3967733,0.000503296,60.010059,600.10601,0.29650388,0.18332781,0.2441606,0.084504418,1.8340394,0.000120577,107.67488,1076.7581,0.3071221,0.28732532,0.014319852,0.003772884,0.23040514,0.000211563,6.315052,63.15113,0.039336756,0.025083219,0.011108309,0.002987933,0.16735417,0.00042618,4.8987646,48.988092,0.028442037,0.019982804,0.014242315,0.002924115,0.14658476,6.4e-06,6.2808595,62.809188,0.022341742,0.020033312,0.06085921,0.054852523,0.19038299,6.19e-05,26.838903,268.39159,0.043477817,0.040418263,0.043559703,0.041781198,0.14785977,2.34e-05,19.209829,192.10006,0.028838745,0.027172413,0.013362113,0.009018065,0.0565565,9.5e-06,5.892693,58.92746,0.013331504,0.012744668,0.005237874,0.002559722,0.036009375,8.06e-10,2.3099024,23.099236,0.006343229,0.005752708,0.004707235,0.002068833,0.033396494,5.13e-12,2.0758901,20.759096,0.006258138,0.005657229,0.11656617,0.042975493,1.0902848,2.28e-08,51.405682,514.06155,0.16177912,0.068906057,,,0021
45, rois\0022-4.roi.h500, (red),1205,1205.0,2.3946128,0.63559413,18.756794,-6.0818791,2885.5088,28855.125,3.7608645,3.4737599,0.74738523,0.74775511,0.77558041,0.72467768,900.59857,9006.0048,0.007807872,0.007732207,0.24633106,0.06471958,2.9111035,1.19e-06,296.82895,2968.2934,0.39317618,0.34774544,0.20126971,0.021086708,2.1449482,0.001863857,242.53004,2425.3034,0.3491557,0.27074186,0.17357157,0.024545915,1.4998541,0.00065542,209.15363,2091.5403,0.23805394,0.22193272,0.20398599,0.13802817,1.3836516,6.1e-05,245.80328,2458.0346,0.24543647,0.15384136,0.1060558,0.036590859,0.888677,1.36e-06,127.79726,1277.9743,0.13584366,0.096638374,0.016714856,0.003981254,0.14169902,8.01e-08,20.141413,201.4143,0.023289279,0.021617684,0.083002449,0.076095141,0.30925038,4.22e-05,100.018,1000.1809,0.051133242,0.04932458,0.062257332,0.059091836,0.20558415,8.33e-05,75.019997,750.20192,0.033018191,0.031801856,0.028492897,0.024974011,0.11582482,1.46e-06,34.33392,343.33989,0.020770873,0.019647134,0.004879933,0.002330455,0.043272283,1.08e-09,5.8803186,58.80327,0.0061719,0.0056851,0.005042838,0.002390461,0.034352697,4.47e-11,6.0766234,60.76628,0.006203814,0.00581402,0.022823306,0.017355494,0.13309525,2.35e-10,27.502071,275.02123,0.022040608,0.020526762,,,0022
49, rois\0023-4.roi.h500, (red),382,9549.98,9.0559384,9.0685902,19.100576,3.6587059,3459.3674,864839.99,2.9771102,2.3565753,0.70726502,0.73764908,0.7612313,0.57583773,270.17523,67543.644,0.052044632,0.009752552,1.3347344,0.56859165,11.029228,1.92e-08,509.86862,127466.82,1.8006756,0.99428554,0.16274345,0.034432799,1.6110532,0.000129276,62.168007,15541.961,0.28728736,0.21749871,0.28466176,0.13293394,2.0462453,0.000981231,108.74082,27185.131,0.34471259,0.31564195,0.097263904,0.007559221,1.0290847,6.18e-06,37.154808,9288.68,0.1614432,0.093759248,0.05098088,0.005175968,0.63892347,3.86e-11,19.474697,4868.6621,0.10194612,0.059632644,0.024702137,0.008172436,0.14135855,1.3e-07,9.4362192,2359.0483,0.030078945,0.025304457,0.077096049,0.0631686,0.90837216,9.98e-05,29.450693,7362.6546,0.074260003,0.057587005,0.056430001,0.050867308,0.1813291,2.89e-05,21.556271,5389.0519,0.035445991,0.031633099,0.018406964,0.015575799,0.12012241,3.78e-05,7.0314593,1757.8608,0.018264785,0.01510404,0.01078181,0.006484228,0.096080527,2.89e-12,4.11865,1029.6604,0.012023107,0.008656885,0.012520982,0.006415127,0.098734625,5.18e-13,4.7830124,1195.7508,0.016392959,0.010146061,0.047112394,0.030126059,0.41551936,1.67e-15,17.996933,4499.2226,0.053722798,0.038122167,,,0023
53, rois\0024-3.roi.h500, (red),1730,1730.0,6.3323196,6.679213,19.701141,-1.8449187,10954.906,109548.87,3.1723368,2.2515214,0.71404752,0.7245658,0.76511091,0.63989854,1235.3007,12352.992,0.03055269,0.007229028,1.5318913,0.89553529,8.9745541,1.98e-12,2650.1726,26501.657,1.6673211,1.0295612,0.16056274,0.037665077,2.9962299,0.000835032,277.77393,2777.7288,0.29713173,0.21648888,0.2989481,0.17346042,1.6909299,0.001504459,517.18036,5171.7898,0.32120024,0.29946129,0.10439506,0.012256951,1.0537007,9.1e-08,180.60352,1806.0301,0.1590294,0.1064735,0.050664064,0.006481544,0.5155549,3.19e-08,87.648834,876.48621,0.080855081,0.057147761,0.023985874,0.00660913,0.19554982,1.34e-06,41.495564,414.95463,0.031427342,0.027007975,0.069007523,0.062983647,0.34288222,0.000135774,119.383,1193.8273,0.049096504,0.045014284,0.052596688,0.048749313,0.23783775,4.04e-05,90.992218,909.92052,0.033618085,0.031393957,0.016781384,0.013993771,0.082599461,9.91e-07,29.031805,290.31724,0.016013565,0.01459264,0.009766287,0.005973269,0.073442154,1.05e-11,16.89566,168.95636,0.010506188,0.008753693,0.010332534,0.005956818,0.092086233,2.89e-17,17.875284,178.75242,0.011930133,0.008908765,0.041270165,0.029504303,0.30147952,1.2e-14,71.397369,713.97213,0.040876144,0.031857473,,,0024
56, rois\0025-3.roi.h500, (red),251,22.5898,3.0748277,2.519995,13.193459,-0.70075989,771.7818,694.59619,2.4790009,2.3867228,0.70115063,0.72377902,0.74691361,0.0,175.98885,158.38824,0.12765498,0.03169812,1.2919582,1.1925282,4.8745551,0.0,324.28143,291.85026,1.0882512,1.0394546,1.7261655,1.6077999,5.6021819,0.0,433.26773,389.93665,1.1249641,1.0332771,0.3722033,0.24658874,1.9279617,0.0,93.423019,84.079831,0.37603615,0.34334474,2.7170753,2.7570543,6.6566372,0.0,681.98596,613.78078,1.0576365,0.82020402,0.99294584,0.98139721,2.7661178,0.0,249.22951,224.30408,0.4573612,0.40126019,0.041831992,0.041031871,0.22298017,0.0,10.499831,9.4497465,0.03707078,0.035093381,0.15792433,0.15167527,0.35517424,0.0,39.639,35.674728,0.076670723,0.073262475,0.077143145,0.074640609,0.18366829,0.0,19.362934,17.426451,0.038322276,0.036703038,0.16813232,0.16760556,0.37697756,0.0,42.201218,37.980687,0.062395827,0.05288015,0.006413467,0.004294479,0.050945256,0.0,1.6097797,1.4487867,0.007420556,0.006632508,0.012309461,0.008785798,0.069512025,0.0,3.0896738,2.7806776,0.011749165,0.01086403,0.031517049,0.027712349,0.14871034,0.0,7.910779,7.1196257,0.026834314,0.024684141,,,0025
59, rois\0026-4.roi.h500, (red),129,11.6095,45.366359,45.914566,85.274849,9.4563723,5852.2598,5266.8104,20.240924,12.907545,0.69763739,0.69799197,0.72646534,0.67082959,89.995239,80.992259,0.008824998,0.007769462,14.020799,12.857345,41.827972,2.7657781,1808.683,1627.7456,6.9586538,6.0209294,42.643853,40.789455,101.66672,11.021894,5501.0581,4950.741,19.098268,13.697819,6.441503,5.7536383,15.698704,0.96340477,830.95386,747.82671,3.1615929,2.7944648,50.235934,51.925789,69.386665,18.237514,6480.4351,5832.144,9.8523531,7.2412382,4.2375097,4.1503606,9.2229328,0.31754574,546.63867,491.95396,1.7109287,1.5274007,0.2422384,0.22043796,0.8345139,0.014481413,31.248745,28.122683,0.14334279,0.13329714,0.56899862,0.56324911,1.3872889,0.089643836,73.400818,66.057932,0.25155191,0.23131812,0.2146251,0.19602399,0.5859884,0.030181307,27.68664,24.916915,0.10491203,0.089625359,0.62127732,0.55892587,2.1966949,0.21379161,80.144791,72.127231,0.31078565,0.19138649,0.20522275,0.16030513,0.75349748,1.38e-06,26.473736,23.825349,0.1827226,0.12410371,0.28858504,0.24876095,0.83051056,0.039192572,37.22747,33.503299,0.15577304,0.12894114,79.520297,84.061401,158.95296,4.5469484,10258.118,9231.9141,43.316345,27.677234,,,0026
63, rois\0027-4.roi.h500, (red),136,12.2396,13.885574,13.031298,31.0201,6.9352331,1888.4377,1699.537,3.6793544,2.7157575,0.71165864,0.71165133,0.72825116,0.69330853,96.785583,87.104084,0.007425817,0.007387784,7.3875124,7.23913,20.515772,0.8972919,1004.702,904.20106,3.2301732,3.0298875,10.075443,9.6419811,25.541544,3.3918092,1370.2605,1233.1927,4.0053928,3.0545806,1.9367109,1.7684587,6.4312711,0.15383002,263.39267,237.04542,1.1759086,1.0811658,23.905883,23.850889,30.700825,16.963064,3251.2007,2925.9815,2.918173,2.6889452,2.5598413,2.4385946,5.6619105,0.78163099,348.13849,313.31403,0.86267968,0.78461947,0.095422859,0.079962157,0.34336156,5.29e-05,12.977509,11.679365,0.070504065,0.068146638,0.62276998,0.54572225,4.1571269,0.11974548,84.696747,76.224478,0.40858028,0.2071934,0.20664494,0.19967975,0.38810155,0.062238034,28.103716,25.292489,0.065816406,0.062115437,0.31602656,0.31231645,0.55874187,0.11936836,42.979614,38.680349,0.094606733,0.087980991,0.0212654,0.016220197,0.12954572,1.88e-08,2.8920946,2.6027973,0.019267182,0.016139654,0.13623469,0.13433191,0.41334063,0.025714206,18.527914,16.674564,0.053333742,0.047072399,15.377789,11.919525,52.974739,6.3607712,2091.3792,1882.178,8.6294366,4.8449208,,,0027
67, rois\0028-3.roi.h500, (red),400,35.9974,2.8402539,0.36617517,15.477407,-2.5988936,1136.1016,1022.417,3.480455,3.4872043,0.71845987,0.71777779,0.7445783,0.68228573,287.38391,258.62673,0.008507805,0.008369709,0.289397,0.065077573,2.7582762,0.000554109,115.75878,104.17534,0.4811901,0.4116181,0.20764202,0.043154702,1.7476246,0.002557124,83.056747,74.745684,0.33580092,0.289573,0.35777784,0.26579142,2.6016929,1.27e-06,143.1111,128.79065,0.347616,0.32917444,0.13293574,0.086683691,0.82618588,2.67e-09,53.174297,47.853384,0.14945869,0.13924503,0.019592688,0.004472411,0.20954499,1.52e-06,7.8370771,7.0528543,0.042133214,0.032229434,0.018370845,0.003936934,0.11816973,1.97e-06,7.3483396,6.6130228,0.02666945,0.024961253,0.073618684,0.064471111,0.28987896,0.000283039,29.447466,26.500797,0.054637162,0.052049112,0.059266803,0.053101521,0.20693953,7.96e-05,23.70672,21.334496,0.036711011,0.033942354,0.018561428,0.016974015,0.094444454,1.22e-05,7.424571,6.6816275,0.0176241,0.016646855,0.008256863,0.005201834,0.049552146,1.4e-09,3.3027437,2.9722543,0.008621119,0.008053179,0.009260581,0.005858202,0.060896259,2.16e-10,3.7042336,3.3335664,0.009968167,0.009590318,0.070358864,0.060161978,0.35626754,2.66e-10,28.143541,25.327347,0.055805008,0.048093148,,,0028
70, rois\0029-3.roi.h500, (red),282,7050.03,11.524893,11.183548,23.613125,4.4687567,3250.0193,812508.25,3.5304886,2.7580503,1.0593811,1.0619587,1.0930989,0.998362,298.74561,74686.67,0.015668217,0.013598638,0.32708149,0.10317221,1.7876151,0.004232228,92.237,23059.339,0.40725299,0.38815629,0.21315314,0.095445849,1.2539335,0.002424558,60.109188,15027.358,0.24586441,0.234565,0.31068325,0.27074778,1.1830366,2.85e-05,87.612663,21903.259,0.24870751,0.23692098,0.11429071,0.088689499,0.76369137,3.6e-10,32.229984,8057.528,0.11642638,0.10551045,0.015216612,0.004204733,0.19357647,2.35e-06,4.2910857,1072.7755,0.029921964,0.023672761,0.01312628,0.003499025,0.16782378,1.14e-05,3.701611,925.40651,0.019712643,0.017005985,0.052581794,0.047901969,0.20221616,0.000380554,14.828067,3707.0316,0.034015199,0.033198491,0.049059547,0.044903737,0.1811033,9.74e-05,13.834788,3458.7122,0.023926991,0.022828073,0.016041395,0.013950036,0.056228559,1.73e-07,4.523675,1130.9229,0.012548392,0.011756352,0.006925611,0.005052246,0.032141693,7.52e-10,1.9530231,488.2576,0.006458585,0.006102431,0.007593111,0.006385599,0.031989038,4.02e-10,2.1412578,535.31651,0.006562242,0.006314341,0.040709328,0.035218325,0.27796239,3.44e-08,11.480027,2870.0193,0.035585201,0.029720196,,,0029
73, rois\0030-4.roi.h500, (red),173,4325.0,4.0859393,4.5184908,11.840778,-1.0182381,706.86743,176716.83,2.5808695,2.5685335,1.0665033,1.0657119,1.1075442,1.0223175,184.50507,46126.258,0.017104502,0.017266526,0.31097899,0.10924175,2.2773926,0.003029299,53.799377,13449.838,0.41174095,0.3803573,0.22820852,0.065526426,1.3498353,0.002627034,39.48008,9870.0164,0.29009906,0.25464513,0.33660087,0.26505542,1.5189388,5.81e-05,58.231949,14557.984,0.29513365,0.2704401,0.10804884,0.078408413,0.53595275,9.08e-09,18.692448,4673.1111,0.11211842,0.10599324,0.021410294,0.005194749,0.41143698,6.5e-06,3.7039804,925.995,0.047958309,0.035683206,0.015742288,0.005581495,0.070731089,0.000113321,2.7234161,680.85382,0.017390439,0.016790658,0.12110643,0.059030887,4.8956552,0.000518664,20.951418,5237.8519,0.46162984,0.15719686,0.048510077,0.044760942,0.11681458,0.000522683,8.3922443,2098.0603,0.025795815,0.024173055,0.016993116,0.014393195,0.068058066,5.1e-05,2.9398091,734.95209,0.013565434,0.012121949,0.007072121,0.005175237,0.027414488,1.83e-08,1.2234769,305.86917,0.005690973,0.005504582,0.008965907,0.007558245,0.046757322,2.8e-10,1.551102,387.77541,0.007813319,0.007436268,0.04856066,0.036620587,0.67306483,1.82e-09,8.4009953,2100.2481,0.065321849,0.04250267,,,0030
77, rois\0031-5.roi.h500, (red),230,5750.0,5.7994158,5.6114616,16.824001,0.86434484,1333.8654,333466.15,2.9709722,2.8311222,1.065109,1.0655463,1.1,1.0269566,244.97513,61243.721,0.013853763,0.013420412,0.28485656,0.085394427,1.432065,0.001547622,65.517014,16379.24,0.34681447,0.33377149,0.22449992,0.081979051,1.365172,0.000245329,51.634995,12908.735,0.28681937,0.26377394,0.31510742,0.28220853,1.3351246,5.62e-07,72.474693,18118.663,0.24204879,0.23281228,0.10972824,0.066704325,0.66078967,9.74e-10,25.237486,6309.3689,0.1258413,0.11683603,0.016873335,0.004143463,0.12424134,6.13e-06,3.8808661,970.216,0.02915869,0.025559734,0.015973587,0.004879458,0.10367846,2.94e-05,3.6739247,918.48052,0.02010158,0.01800521,0.053388494,0.051275529,0.16062309,0.000236671,12.279357,3069.836,0.033277096,0.031958703,0.04787355,0.046224728,0.12822764,0.001332444,11.010918,2752.727,0.024594826,0.023031353,0.015136669,0.013373997,0.0602431,6.71e-05,3.4814355,870.35783,0.011616985,0.011457794,0.006671506,0.005737635,0.025615342,3.24e-08,1.5344466,383.61127,0.005418767,0.005065091,0.007511194,0.005925464,0.035506062,1.09e-09,1.7275747,431.89332,0.006706897,0.006471135,0.037572529,0.034872811,0.13913731,5.04e-08,8.6416817,2160.4188,0.024728867,0.02347577,,,0031
82, rois\0032-4.roi.h500, (red),111,2774.99,3.8878311,4.0134726,11.432105,-2.0363212,431.54929,107887.11,2.7806406,2.700401,1.0617194,1.0621891,1.090909,1.0293103,117.85085,29462.66,0.013776713,0.012875485,0.27289998,0.072934508,1.630075,0.008410308,30.291899,7572.9605,0.36505543,0.34053313,0.17643767,0.058068473,1.0074821,0.006117882,19.584574,4896.1363,0.22639785,0.20901564,0.36054512,0.32641354,1.3111273,0.00060438,40.0205,10005.109,0.26057454,0.24399439,0.11491868,0.081631079,0.57975954,2.19e-10,12.755978,3188.9874,0.11151995,0.10594716,0.017141766,0.0041382,0.18788864,0.000291204,1.9027357,475.68313,0.032383881,0.028471102,0.015637583,0.005761135,0.072412737,1.01e-06,1.7357714,433.94212,0.017759003,0.017117299,0.069603194,0.069939964,0.18929219,0.000700397,7.7259545,1931.4851,0.038238321,0.037695079,0.063951464,0.0636755,0.14982119,0.002986283,7.0986133,1774.6498,0.027742958,0.027208049,0.033487482,0.029065182,0.092817411,0.000680527,3.7171102,929.27591,0.019566933,0.018311696,0.007219885,0.005941151,0.033917122,8.21e-12,0.80140704,200.35143,0.006112412,0.00558612,0.009724004,0.008630545,0.040496685,2.63e-08,1.0793644,269.84062,0.007742567,0.007376323,0.035188918,0.030457409,0.11848994,1.86e-07,3.9059694,976.49066,0.022790897,0.020283306,,,0032
86, rois\0033-4.roi.h500, (red),664,16600.0,5.1797109,5.0593376,17.220413,-1.04599,3439.3254,859832.51,3.0050184,2.7969946,1.0576691,1.0575783,1.1187552,1.0226877,702.29242,175573.17,0.01274044,0.011796118,0.30491434,0.089209743,2.5287833,0.000820144,202.46306,50615.81,0.40859623,0.3863915,0.21337849,0.073312081,1.5672605,7.12e-05,141.68338,35420.85,0.27153273,0.25413267,0.30585577,0.25867814,1.5329925,6.3e-07,203.08823,50772.088,0.25273761,0.24273342,0.12358469,0.09018667,0.74248594,1.4e-10,82.060272,20515.071,0.12854623,0.12103531,0.01700583,0.004192271,0.20598027,7.81e-08,11.291871,2822.9694,0.031707658,0.026127512,0.017941453,0.006832143,0.11620563,1.99e-07,11.913126,2978.2829,0.021276624,0.019739247,0.072359259,0.068540052,0.25299171,0.000313888,48.046547,12011.644,0.040921748,0.038648225,0.0624173,0.05916414,0.17465255,0.003543779,41.44508,10361.278,0.028658097,0.027853017,0.029397,0.027477466,0.11643095,5.16e-09,19.5196,4879.9048,0.018445256,0.017533638,0.007036631,0.005529767,0.037642196,3.56e-10,4.6723223,1168.0815,0.006104032,0.005774495,0.008967739,0.007321067,0.040706884,3.34e-11,5.9545779,1488.6455,0.008014551,0.007651658,0.035981043,0.033090003,0.11411842,8.18e-13,23.891392,5972.8567,0.023695737,0.022654813,,,0033
90, rois\0034-4.roi.h500, (red),88,87.9995,4.9712884,5.1003876,11.036557,0.59614778,437.47342,4374.7107,2.0894485,1.8687767,1.0546568,1.0573505,1.0878763,1.0155945,92.809792,928.09304,0.016408873,0.016004371,0.33215228,0.12889379,1.9978021,0.002299587,29.229401,292.29246,0.43842925,0.42266175,0.54236261,0.51321989,1.8674185,0.006312769,47.727905,477.27657,0.45815854,0.38059596,0.3644866,0.33631635,1.2522382,3.28e-07,32.074821,320.74651,0.27195983,0.25287704,0.14275201,0.1336676,0.55859041,4.06e-08,12.562179,125.62111,0.13107615,0.12316318,0.052804524,0.013233065,0.40460676,1.08e-05,4.6467972,46.467735,0.080323228,0.065987653,0.016290243,0.008373406,0.068865493,9.35e-05,1.4335411,14.335338,0.01838682,0.017913559,0.22635997,0.20550248,0.49088424,0.067698024,19.91967,199.19572,0.10108849,0.074846823,0.054334187,0.053868905,0.14961286,0.001805737,4.7814083,47.813832,0.023907062,0.02327161,0.020319921,0.018603649,0.068046845,0.000359448,1.7881528,17.881436,0.014763454,0.013372915,0.011104763,0.010776699,0.032187905,3.76e-07,0.97721905,9.77214,0.007815032,0.007699943,0.011665785,0.010393376,0.05083283,1.84e-08,1.0265889,10.265836,0.009498091,0.009055303,3.3186893,3.1032748,6.5619593,1.1964846,292.04465,2920.4312,1.1325147,0.5646889,,,0034
